bank,date,var_99_gaussian
goldmansachs,2011-12-31,140.01758925922837
morganstanley,2011-12-31,123.04576025810977
jpmorgan,2011-12-31,107.48825034041774
citigroup,2011-12-31,183.0
bankofamerica,2011-12-31,88.4
wellsfargo,2011-12-31,32.0
bny,2011-12-31,11.3
statestreet,2011-12-31,5.13
goldmansachs,2011-09-30,203.66194801342306
morganstanley,2011-09-30,202.24762892999652
jpmorgan,2011-09-30,99.00233583985843
citigroup,2011-09-30,196.0
bankofamerica,2011-09-30,163.7
wellsfargo,2011-09-30,30.0
bny,2011-09-30,13.3
statestreet,2011-09-30,5.13
goldmansachs,2011-06-30,120.21712209125667
morganstanley,2011-06-30,182.44716176202485
jpmorgan,2011-06-30,108.90256942384428
citigroup,2011-06-30,168.0
bankofamerica,2011-06-30,229.2
wellsfargo,2011-06-30,28.0
bny,2011-06-30,8.1
statestreet,2011-06-30,5.13
goldmansachs,2011-03-31,158.4037373437735
morganstanley,2011-03-31,189.51875717915757
jpmorgan,2011-03-31,117.38848392440357
citigroup,2011-03-31,195.0
bankofamerica,2011-03-31,183.9
wellsfargo,2011-03-31,25.0
bny,2011-03-31,7.5
statestreet,2011-03-31,5.13
goldmansachs,2010-12-31,156.98941826034695
morganstanley,2010-12-31,166.8896518443328
jpmorgan,2010-12-31,123.04576025810977
citigroup,2010-12-31,191.0
bankofamerica,2010-12-31,157.1
wellsfargo,2010-12-31,30.0
bny,2010-12-31,3.9
statestreet,2010-12-31,5.13
goldmansachs,2010-09-30,176.78988542831863
morganstanley,2010-09-30,294.1783693527222
jpmorgan,2010-09-30,140.01758925922837
citigroup,2010-09-30,213.0
bankofamerica,2010-09-30,185.0
wellsfargo,2010-09-30,31.0
bny,2010-09-30,9.2
statestreet,2010-09-30,5.13
goldmansachs,2010-06-30,195.17603351286377
morganstanley,2010-06-30,231.94832968195405
jpmorgan,2010-06-30,127.28871750838942
citigroup,2010-06-30,188.0
bankofamerica,2010-06-30,189.0
wellsfargo,2010-06-30,30.0
bny,2010-06-30,6.6
statestreet,2010-06-30,5.13
goldmansachs,2010-03-31,231.94832968195405
morganstanley,2010-03-31,236.1912869322337
jpmorgan,2010-03-31,115.97416484097702
citigroup,2010-03-31,200.0
bankofamerica,2010-03-31,275.8
wellsfargo,2010-03-31,38.0
bny,2010-03-31,10.9
statestreet,2010-03-31,5.13
goldmansachs,2009-12-31,216.390819764262
morganstanley,2009-12-31,264.4776686007647
jpmorgan,2009-12-31,231.94832968195405
citigroup,2009-12-31,163.0
bankofamerica,2009-12-31,255.7
wellsfargo,2009-12-31,45.0
bny,2009-12-31,8.1
statestreet,2009-12-31,5.13
goldmansachs,2009-09-30,267.3063067676178
morganstanley,2009-09-30,247.5058395996461
jpmorgan,2009-09-30,291.34973118586913
citigroup,2009-09-30,281.0
bankofamerica,2009-09-30,159.4
wellsfargo,2009-09-30,42.0
bny,2009-09-30,6.0
statestreet,2009-09-30,5.13
goldmansachs,2009-06-30,312.56451743726734
morganstanley,2009-06-30,244.677201432793
jpmorgan,2009-06-30,377.6231952748886
citigroup,2009-06-30,260.0
bankofamerica,2009-06-30,167.7
wellsfargo,2009-06-30,59.0
bny,2009-06-30,4.5
statestreet,2009-06-30,5.13
goldmansachs,2009-03-31,376.2088761914621
morganstanley,2009-03-31,192.34739534601067
jpmorgan,2009-03-31,475.2112120313205
citigroup,2009-03-31,291.0
bankofamerica,2009-03-31,244.6
wellsfargo,2009-03-31,103.0
bny,2009-03-31,8.8
statestreet,2009-03-31,5.13
goldmansachs,2008-12-31,326.70770827153285
morganstanley,2008-12-31,203.66194801342306
jpmorgan,2008-12-31,231.94832968195405
citigroup,2008-12-31,295.0
bankofamerica,2008-12-31,171.3
wellsfargo,2008-12-31,19.0
bny,2008-12-31,14.7
statestreet,2008-12-31,5.13
goldmansachs,2008-09-30,345.093856356078
morganstanley,2008-09-30,190.93307626258414
jpmorgan,2008-09-30,248.92015868307266
citigroup,2008-09-30,240.0
bankofamerica,2008-09-30,94.6
wellsfargo,2008-09-30,25.0
bny,2008-09-30,7.6
statestreet,2008-09-30,5.13
goldmansachs,2008-06-30,274.37790218475055
morganstanley,2008-06-30,166.8896518443328
jpmorgan,2008-06-30,210.7335434305558
citigroup,2008-06-30,292.0
bankofamerica,2008-06-30,87.5
wellsfargo,2008-06-30,15.0
bny,2008-06-30,10.9
statestreet,2008-06-30,5.13
goldmansachs,2008-03-31,241.8485632659399
morganstanley,2008-03-31,151.33214192664076
jpmorgan,2008-03-31,172.546928178039
citigroup,2008-03-31,341.0
bankofamerica,2008-03-31,90.1
wellsfargo,2008-03-31,13.0
bny,2008-03-31,10.8
statestreet,2008-03-31,5.13
goldmansachs,2007-12-31,195.17603351286377
morganstanley,2007-12-31,117.38848392440357
jpmorgan,2007-12-31,149.9178228432142
citigroup,2007-12-31,191.0
bankofamerica,2007-12-31,69.8
wellsfargo,2007-12-31,18.0
bny,2007-12-31,8.8
statestreet,2007-12-31,5.13
goldmansachs,2007-09-30,185.27579992887794
morganstanley,2007-09-30,118.80280300783012
jpmorgan,2007-09-30,151.33214192664076
citigroup,2007-09-30,141.0
bankofamerica,2007-09-30,46.7
wellsfargo,2007-09-30,35.0
bny,2007-09-30,11.4
statestreet,2007-09-30,5.13
goldmansachs,2007-06-30,190.93307626258414
morganstanley,2007-06-30,131.53167475866906
jpmorgan,2007-06-30,155.5750991769204
citigroup,2007-06-30,138.0
bankofamerica,2007-06-30,42.7
wellsfargo,2007-06-30,10.0
bny,2007-06-30,9.5
statestreet,2007-06-30,5.13
goldmansachs,2007-03-31,217.80513884768857
morganstanley,2007-03-31,110.31688850727083
jpmorgan,2007-03-31,117.38848392440357
citigroup,2007-03-31,102.0
bankofamerica,2007-03-31,41.3
wellsfargo,2007-03-31,12.0
bny,2007-03-31,9.1
statestreet,2007-03-31,5.13
